"indicator_id";"wave";"enabled";"display_order";"organism_section";"organism_label";"organism_filter_type";"organism_filter_values";"report_taxon_label";"indicator_label";"indicator_kind";"molecule_values";"phenotype_flag";"scope_mode";"sample_type_mode";"sample_type_values";"analysis_period";"publish_proportion";"publish_incidence";"numerator_kind";"denominator_kind";"notes"
"saureus_meticilline";1;TRUE;1;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Meticilline";"molecule_priority";"cefoxitine|oxacilline";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";"Methicillin is derived from cefoxitine then oxacilline; cefoxitine is retained on discordance. Current data appears not to contain cefoxitine for S. aureus, so this is currently numerically equivalent to oxacilline alone."
"saureus_kanamycine";1;TRUE;2;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Kanamycine";"molecule_direct";"kanamycine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_gentamicine";1;TRUE;3;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Gentamicine";"molecule_direct";"gentamicine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_tobramycine";1;TRUE;4;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Tobramycine";"molecule_direct";"tobramycine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_fluoroquinolones";1;TRUE;5;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Fluoroquinolones";"class_any_r";"ofloxacine|levofloxacine|moxifloxacine|ciprofloxacine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";"Defined here as ofloxacine, levofloxacine, moxifloxacine and ciprofloxacine."
"saureus_ofloxacine";1;TRUE;6;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Ofloxacine";"molecule_direct";"ofloxacine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_levofloxacine";1;TRUE;7;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Levofloxacine";"molecule_direct";"levofloxacine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_moxifloxacine";1;TRUE;8;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Moxifloxacine";"molecule_direct";"moxifloxacine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_ciprofloxacine";1;TRUE;9;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Ciprofloxacine";"molecule_direct";"ciprofloxacine";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
"saureus_tetracycline";1;TRUE;10;"staphylococcus_aureus";"Staphylococcus aureus";"bact_norm";"staphylococcus_aureus";"Staphylococcus aureus";"Tetracycline";"molecule_direct";"tetracycline";"";"patient_year_dedup";"global_and_by_type";"";"annual";;;"resistant_isolates";"tested_isolates";""
