bact_norm,bact_order
acinetobacter_baumannii,Pseudomonadales
acinetobacter_lwoffii,Pseudomonadales
citrobacter_amalonaticus,Enterobacterales
citrobacter_freundii,Enterobacterales
enterobacter_cloacae_complex,Enterobacterales
enterococcus_faecalis,Lactobacillales
enterococcus_faecium,Lactobacillales
escherichia_coli,Enterobacterales
klebsiella_pneumoniae,Enterobacterales
klebsiella_variicola,Enterobacterales
pseudomonas_aeruginosa,Pseudomonadales
salmonella_spp,Enterobacterales
staphylococcus_aureus,Bacillales
